fc_uid,tmdb_id,imdb_id,thetvdb_id,trakt_id,flixpatrol_id,title,original_title,title_type,season_number,max_seasons,season_episodes,total_episodes,start_year,end_year,premiere_date,finale_date,runtime_minutes,genres,is_adult,status,original_language,country,regions,overview,tagline,age_certification,homepage,streaming_platform,streaming_platform_global,streaming_platform_usa,streaming_platform_uk,streaming_platform_row,network,studio,production_country,studio_type,studio_headquarters,studio_offices,studio_hits,production_companies,creators,directors,writers,producers,cast_data,budget,revenue,imdb_score,imdb_vote_count,tmdb_score,tmdb_vote_count,tmdb_popularity,rotten_tomatoes_score,metacritic_score,netflix_hours_viewed,netflix_views,nielsen_viewers_millions,flixpatrol_points,flixpatrol_rank,parrot_demand_expressions,source_api,source_apis_used,ingestion_timestamp,confidence_score,measurement_scope,poster,backdrop,trailer_url,videos,similar_content,keywords,imdb_url
fc_1ec31f5253d95146,,tt4574334,,,,Stranger Things,,tv_show,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,1566461.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.929467,,,,,,,,,
fc_71188be2725c0814,,tt12343534,,,,JUJUTSU KAISEN,,tv_show,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,171858.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931433,,,,,,,,,
fc_a8d4aea41b86a651,,tt1399664,,,,The Night Manager,,tv_show,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,117468.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931459,,,,,,,,,
fc_85c5ba04ef8829e7,,tt31938062,,,,The Pitt,,tv_show,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,90794.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931472,,,,,,,,,
fc_b540b02bdf02083e,,tt33035373,,,,HIS & HERS,,tv_show,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931489,,,,,,,,,
fc_f0484c9bd9fb07e8,,tt14186672,,,,Landman,,tv_show,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,85813.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931503,,,,,,,,,
fc_4865e1e167239837,,tt12637874,,,,Fallout,,tv_show,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,355937.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931514,,,,,,,,,
fc_8e49dab3b856a3cb,,tt0388629,,,,One Piece,,tv_show,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,331084.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931526,,,,,,,,,
fc_53b7be89026a9c99,,tt7587890,,,,The Rookie,,tv_show,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,116400.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931537,,,,,,,,,
fc_53788ee287de31e0,,tt19244304,,,,IT: Welcome to Derry,,tv_show,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,71096.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931553,,,,,,,,,
fc_b393bf2c3bd45180,,tt21216104,,,,TRIGUN STAMPEDE,,tv_show,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,2512.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931565,,,,,,,,,
fc_e9e90e0cfe1b30bb,,tt22202452,,,,Pluribus,,tv_show,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,76652.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931577,,,,,,,,,
fc_be8caba6516ce3be,,tt32536168,,,,Sentenced to Be a Hero,,tv_show,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,530.0,,,,,,,,,,,,omdb,,2026-01-11T16:14:13.931682,,,,,,,,,
fc_f2a1a99c75cafcaf,,tt27543632,,,,The Housemaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931802,,,,,,,,,https://www.imdb.com/title/tt27543632/
fc_962075a8358bc2f5,,tt1757678,,,,Avatar: Fire and Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931824,,,,,,,,,https://www.imdb.com/title/tt1757678/
fc_bdd0574593d1bcc2,,tt32916440,,,,Marty Supreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931839,,,,,,,,,https://www.imdb.com/title/tt32916440/
fc_b613d407b89038f3,,tt14364480,,,,Wake Up Dead Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931852,,,,,,,,,https://www.imdb.com/title/tt14364480/
fc_708a1455e928a3c0,,tt30144839,,,,One Battle After Another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931864,,,,,,,,,https://www.imdb.com/title/tt30144839/
fc_76b85724db1e0aed,,tt31495504,,,,The Tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931874,,,,,,,,,https://www.imdb.com/title/tt31495504/
fc_bd4d90e11406eedf,,tt12300742,,,,Bugonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931886,,,,,,,,,https://www.imdb.com/title/tt12300742/
fc_782983e96306470f,,tt21357150,,,,Avengers: Doomsday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931897,,,,,,,,,https://www.imdb.com/title/tt21357150/
fc_6e1292bd3cc8d09a,,tt33244668,,,,Anaconda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931908,,,,,,,,,https://www.imdb.com/title/tt33244668/
fc_4b7bd16caaa25c2d,,tt29567915,,,,Nuremberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931919,,,,,,,,,https://www.imdb.com/title/tt29567915/
fc_5158e3143cf53b04,,tt26443597,,,,Zootopia 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imdb_scrape,,2026-01-11T16:14:13.931935,,,,,,,,,https://www.imdb.com/title/tt26443597/
